iter	Passed	Remaining
0	0	78
1	3	156
2	3	128
3	4	111
4	5	101
5	5	93
6	6	88
7	7	83
8	7	80
9	8	77
10	9	74
11	10	73
12	10	71
13	11	70
14	12	68
15	12	67
16	13	66
17	14	64
18	14	63
19	15	61
20	16	60
21	17	62
22	18	61
23	19	63
24	20	62
25	21	61
26	22	60
27	23	61
28	24	60
29	25	59
30	26	58
31	27	58
32	27	56
33	28	55
34	29	54
35	30	53
36	31	52
37	33	54
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	37	48
44	38	47
45	39	45
46	39	44
47	40	43
48	41	42
49	42	42
50	42	40
51	43	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	51	30
63	53	29
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	64	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	78	4
94	79	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
